top_category,sub_category,naics_code,n_pois,naics_2digit
"Paint, Coating, and Adhesive Manufacturing",Paint and Coating Manufacturing,325510,7,32
Performing Arts Companies,Musical Groups and Artists,711130,12,71
Performing Arts Companies,Other Performing Arts Companies,711190,11,71
Performing Arts Companies,Theater Companies and Dinner Theaters,711110,4,71
Personal Care Services,Barber Shops,812111,2822,81
Personal Care Services,Beauty Salons,812112,19259,81
Personal Care Services,Diet and Weight Reducing Centers,812191,8612,81
Personal Care Services,"Hair, Nail, and Skin Care Services",81211,349643,81
Personal Care Services,Nail Salons,812113,954,81
Personal Care Services,Other Personal Care Services,812199,117852,81
Personal and Household Goods Repair and Maintenance,Appliance Repair and Maintenance,811412,11812,81
Personal and Household Goods Repair and Maintenance,Footwear and Leather Goods Repair,811430,8754,81
Personal and Household Goods Repair and Maintenance,Home and Garden Equipment Repair and Maintenance,811411,1024,81
Personal and Household Goods Repair and Maintenance,Other Personal and Household Goods Repair and Maintenance,811490,8970,81
Personal and Household Goods Repair and Maintenance,Reupholstery and Furniture Repair,811420,19767,81
Petroleum and Coal Products Manufacturing,Petroleum Refineries,324110,3,32
Petroleum and Petroleum Products Merchant Wholesalers,Petroleum Bulk Stations and Terminals,424710,25,42
Petroleum and Petroleum Products Merchant Wholesalers,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),424720,733,42
